SMILES,dataset
CCCC(=O)O[C@@H]1C[C@]2(C)C(C(=O)COC(C)=O)=CC[C@@H]2[C@H]2CCC3=CC(=O)C=C[C@]3(C)[C@@]12F,zink
CCN(CC)c1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,chembl
C=CCn1c(CC(=O)Nc2ccc(OCC)cc2)nnc1SCC(=O)Nc1ccccc1C,zink
CC#CCN1C(=O)N[C@@](CCc2ccccc2)(C2CCN(C[C@@H](C)c3ccccc3)CC2)C1=O,zink
COc1cc(F)c2nc(C)c3c(C)nc(-c4cccnc4C)n3c2c1,crossdocked
CC1(c2cccc(Br)c2)OC(C(=O)O)=CC1=O,chembl
C=CCOc1ccc(/C=C2\SC(=S)N(c3c(C)n(C)n(-c4ccccc4)c3=O)C2=O)cc1,zink
COc1ccc2[C@@H](CN3CCC[C@H]3c2c1)c1ccccc1,crossdocked
CCOc1cccc(-c2nc3ccccc3s2)c1O,chembl
CN1C(=N)N[C@]2(CO[C@H](C[C@H]2C1=O)C1CC1)c1cc(Oc2cnccn2)ccc1F,crossdocked
COc1cccc(-c2ccc(-c3cccc4c3OS(=O)(=O)NC4C)cc2)c1,chembl
CC1=C(C(=O)OCCOC(C)C)[C@H](c2cc3c(cc2Br)OCO3)C2=C(CCCC2=O)N1,zink
O=C(c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1)N1CCCC(O)C1,chembl
O=C(O)C[C@H]1S/C(=N/N=C/c2c(OCc3ccccc3Cl)ccc3ccccc23)NC1=O,zink
O=C(O[C@H]1CCN2C[C@H]3C[C@H](CN4C(=O)CCC[C@H]34)[C@@H]2C1)c1ccc(O)cc1,chembl
N#Cc1cccc(-c2ccc3ncnc(N4CCNCC4)c3c2)c1,chembl
CCN(CC1CCOCC1)C(=O)Nc1cc(-n2cnnn2)cc(C)c1C,chembl
NC1=NC2(CCO1)c1cc(NC(=O)c3ccc(Cl)cn3)ccc1Oc1ncc(cc21)C1CC1,crossdocked
C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,crossdocked
COC(=O)[C@@H]1C(=O)C2=C(C[C@@H]1C)NC(C)=C(C(=O)OCc1ccccc1)[C@H]2c1ccccc1F,zink
CC[C@H](C)[C@H](NC(=O)CO/N=C1/C=C2CC[C@@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@H]3[C@@]2(C)CC1)C(=O)O,zink
COc1ccc(/C=C/C(=O)c2cc(Br)ccc2OC(=O)N2CCOCC2)cc1OC,zink
CCOC(=O)c1sc(N2C(=O)C(O)=C(C(=O)c3ccccc3)[C@H]2c2ccc(OC)cc2)nc1C,zink
CCc1ccc(NC(=O)c2cncc(C)c2)cc1CN1CCC(CC1)C(=O)NC(C)(C)C,crossdocked
COC(=O)C1=C(C)NC2=C(C(=O)C[C@H](c3ccc(OC)c(OC)c3)C2)[C@H]1c1ccc(OC)c(OC)c1,zink
COc1ccccc1CNC(=O)C(=O)NCCC1CCCCN1S(=O)(=O)c1ccccc1,chembl
CC1=C/C(=C(/c2ccc(O)c(C)c2)c2ccccc2C(=O)O)C=CC1=O,chembl
CCOc1cc([C@H]2C(C(=O)OC)=C(C)NC3=C2C(=O)CC(C)(C)C3)cc(Br)c1O,zink
OCC1CCN(Cc2nc(Cc3ccccc3Cl)no2)CC1,chembl
CS(=O)(=O)Nc1ccc2nc([nH]c2c1)C(=O)N1CCC(Cc2ccccc2)CC1,crossdocked
Cc1cccc(C(=O)Oc2ccc(Br)cc2/C=N/NS(=O)(=O)c2ccccc2)c1,zink
COC(C(C)C)[C@H]1CC[C@@H](CC1)C(=O)N1Cc2cccnc2Nc2ccc(cc12)N1CCOCC1,crossdocked
CNC(=O)Nc1ccc(-c2nc(CS(=O)(=O)c3ccncc3)cc(N3CCOC[C@@H]3C)n2)cc1,chembl
CC(C)C[C@H](NC(=O)CON=C1C=C2CC[C@@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@@]2(C)CC1)C(=O)O,zink
O=C1CC(c2nc(-c3ccc(F)cc3F)no2)CCCN1c1ccc(F)cc1,chembl
CCCOCCOC(=O)C1=C(C)NC2=C(C(=O)[C@H](C(=O)OC)[C@@H](C)C2)[C@@H]1c1ccccc1OC(C)C,zink
COc1ccc2c(=O)cc(-c3ccc(N4CCC(F)CC4)cc3)[nH]c2c1,chembl
COc1cccc2cc(C(=O)C3=C(O)C(=O)N(CCCn4ccnc4)[C@@H]3c3ccc(F)cc3)oc12,zink
CNC[C@@H](Cc1ccc(C)s1)c1ccc2ccccc2c1,crossdocked
COC(=O)\C=C1\CN2C3CCC2C1C(C3)c1ccc(C)cc1,crossdocked
COC(=O)c1ccccc1C(=O)N1C[C@@H](CC[C@H]1C)Oc1nccn2ccnc12,crossdocked
COc1cccc(Nc2c(-c3nnc(C)o3)cnc3ccc(S(C)(=O)=O)cc23)c1,chembl
[NH3+][C@H]1CN(CC[C@@H]1c1cc(F)c(F)cc1F)c1ccc2ncnc(C3CC3)c2n1,crossdocked
CCCOc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1-c1nc(CC)c(NC(C)=O)c(=O)[nH]1,chembl
NC(=O)C[S+]([O-])C(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,chembl
CCCN(C/C=C/I)C1COc2c(O)cccc2C1,chembl
Cc1nc2cc(Cl)ccc2nc1C#Cc1nc(nn1C)N1CCCC1,crossdocked
C[C@@H]1CC[C@H](CN1C(=O)c1c(C)nsc1-c1ccccc1)Oc1nccc(C#N)c1C,crossdocked
CC(C)(N1CCN(CC1)c1ccc(cn1)C(F)(F)F)C(=O)NC12CCC(CC1)(CC2)C(N)=O,crossdocked
Cc1n[nH]c2c1C(c1c[nH]nc1-c1ccc(F)cc1)C(C#N)=C(N)O2,chembl
Cc1ccc(nc1)C1C[C@@H]1COc1nc(C)ncc1-c1ccc(F)c(F)c1,crossdocked
COc1cc(CO)c(cc1Cl)-c1cn2cc(CCCCN)c(cc2n1)N1CCOCC1,crossdocked
CN(C)Cc1c[nH]c2cccc(O)c12,crossdocked
COC(=O)C1=C(C)NC2=C(C(=O)C[C@@H](c3ccc(OC)cc3)C2)[C@@H]1c1cc(OC)ccc1OC,zink
O=C(O)CCCCCN1C(=O)C(O)=C(C(=O)/C=C/c2ccccc2)[C@@H]1c1ccc([N+](=O)[O-])cc1,zink
CC(C)(C)CCN1CCN(c2snc(Cl)c2C#N)CC1,chembl
COc1ccccc1N1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2C(F)F)CC1,chembl
CN(C1C[C@@H]2CCN(C[C@@H]2C1)C(=O)CO)c1ncnc2[nH]ccc12,crossdocked
Cn1c(N2CCCC2)nc2c(CN3CCN(c4ccc(F)cc4)CC3)c[nH]c2c1=O,chembl
COc1cnc(cn1)C(=O)Nc1ccc(F)c(c1)[C@@]1(C)N=C(N)CO[C@H]1F,crossdocked
N#Cc1c(N(S(=O)(=O)c2ccccc2)S(=O)(=O)c2ccccc2)sc2c1CCCC2,zink
CCN1CCC(CNc2ccc3ncc(-c4cccc(OC(F)(F)F)c4)n3n2)CC1,crossdocked
CN(C)CCN1CC2(CCCN(c3ncc(Cl)cc3F)C2)CCC1=O,chembl
COc1ccc([C@H]2C(C(=O)c3ccc(F)cc3)=C(O)C(=O)N2CCCCCC(=O)O)c(OC)c1,zink
Cc1ccc(N2CCC([C@H](C)N3CCN(C)CC3)CC2)nn1,chembl
CCOC(=O)C1=C(Nc2ccc([N+](=O)[O-])cc2)S/C(=C\c2ccc(OC)c(OC)c2)C1=O,zink
C=C(C)C1Cc2oc(cc2C(=O)OC)C(C(=C)C)[C@@H]2OC(=O)C(=CC1O)[C@H]2N(C)C,chembl
C=CC(=O)N1C2CC1CN(c1ccc(C(N)=O)c(Oc3ccc(Oc4ccccc4)cc3)n1)C2,chembl
CCOC(=O)C1=C(C)NC2=C(C(=O)[C@H](C(=O)OCC)[C@H](c3ccc(OC)cc3)C2)[C@H]1c1cccs1,zink
CC[C@H](C)OC(=O)C1=C(C)NC2=C(C(=O)[C@H](C(=O)OC)[C@H](C)C2)[C@H]1c1cc(Cl)c(O)c(OC)c1,zink
O=C(CO/N=C/c1cc2c(cc1Br)OCO2)Nc1ccc(OC(F)(F)Cl)cc1,zink
CC(C)n1ncc2c(C(=O)NC[C@@H](C)c3noc(-c4ccc(C#N)s4)n3)cc(C3CC3)nc21,zink
N#Cc1ccc(NC=O)cc1,chembl
Cc1cc(C)nc(N/C(=N/C(=O)Nc2ccc(Cl)c(Cl)c2)NCCCN2CCCC2=O)n1,zink
COC(=O)C1=C(N)N(c2ccc(F)cc2)C2=C(C(=O)CC(C)(C)C2)[C@H]1c1ccc2c(c1)OCO2,zink
COc1ccccc1N1CCN(CC(O)CCNC(=O)c2cnc3ccc(F)cc3c2)CC1,crossdocked
COc1cc(F)ccc1N1CCOc2cc(ccc12)S(=O)(=O)Nc1nccs1,crossdocked
C=CCn1c(CCNC(=O)c2ccccc2C)nnc1SCC(=O)c1ccc(Cl)cc1,zink
CNc1cc(Nc2cccn(C3=NC(C)(C)CS3)c2=O)nc2c(cnn12)C(=O)N[C@@H]1C[C@@H]1F,crossdocked
OCCCCn1c(Cn2ncc3ccncc32)nc2ccccc21,chembl
CC1=C(C(=O)OCCOC(C)C)[C@H](c2coc3ccc(C)cc3c2=O)C2=C(CCCC2=O)N1,zink
COc1ccc(-c2cn(C(C)=O)c(=O)n2-c2cc(OC)c(OC)c(OC)c2)cc1,chembl
COc1cccc(/C=N/N=C2\NC(=O)[C@@H](CC(=O)Nc3ccccc3)S2)c1OCc1ccccc1,zink
Fc1ccc(cc1)C1Nc2cccc3c2c(n[nH]c3=O)C1c1nccs1,crossdocked
NC(=O)c1cn(nc1Nc1ccc(F)cc1)C1(CC#N)CCN(CC1)C(=O)OCC1CC1,crossdocked
COc1cc(O[C@H]2CCN(C)C2)ccc1-c1cc(Nc2cnc(cn2)C#N)n[nH]1,crossdocked
COc1ccc(-c2cn(C)c3ncnc(N)c23)cc1,chembl
C=C(C)Cn1c(=O)c2c(nc3n2CCN3c2cccc(Cl)c2C)n(C)c1=O,chembl
CCC1CN(N=C1)C(NS(=O)(=O)c1cccc(Cl)c1)=NC,crossdocked
COc1ccc2c(c1)[C@H]1[C@H](CO2)[C@H](c2ccccc2)[C@]2(C)C(=O)N(Cc3ccc(C)cc3)CC(=O)N12,chembl
COCCOC(=O)C1=C(C)NC2=C(C(=O)C[C@@H](c3ccccc3OC)C2)[C@@H]1c1ccc([N+](=O)[O-])cc1,zink
O=C(OC1CCCCCCC1)[C@H]1Cc2c(CN1)sc1ccccc21,crossdocked
O=C(NC1CCNCC1O)c1cccc(-c2cnn(Cc3ccccc3)c2)c1,chembl
C=C1[C@H]2CC[C@](C)([C@@H]3COc4c(CO)c5c(c(OC)c4[C@@H]3O)C(=O)O[C@@H]5OC)[C@H]1CCC2(C)C,zink
CSc1nc2[nH]c(=O)c(C)nc2c(=O)[nH]1,chembl
O=C1CC(Cc2ccccc2)(CN1)c1cccc(OCCNS(=O)(=O)CC2CC2)c1,crossdocked
Fc1ccc(Cn2c(nc3ccccc23)[C@H]2CNCCS2)cc1,crossdocked
Nc1nc(O)c2c(n1)CCC(CNc1ccc(C(=O)O)cc1)C2,chembl
C=CCO[C@H]1[C@@H](O)[C@@H](OCC=C)[C@@H](OCC=C)[C@@H](OCc2ccccc2)[C@H]1OCc1ccccc1,zink
Clc1ccc(cc1)-c1cncc(n1)C(=O)NCc1cccnc1N1CCCC1,crossdocked
C=CCNC(=O)[C@H]1CC(=O)N(c2ccc(OCC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)C1,zink
COc1cscc1C(=O)N1CCC(F)(CNCc2ccc(C)cn2)CC1,crossdocked
CCOc1c(cc(Cl)c(F)c1[C@H]1CNC(=O)C1)[C@@H](C)n1nc(C)c2c(N)ncnc12,crossdocked
CN(C)[C@@H](Cc1c(C)cc(O)cc1C)C(=O)N1Cc2ccccc2C[C@H]1C(N)=O,crossdocked
COC(=O)[C@]12C[C@H]1[C@](C)(N=C(N)S2)c1cc(\C=C(/F)c2ccc(Cl)cn2)ccc1F,crossdocked
CCCOc1ccc(C(=O)C2=C(O)C(=O)N(c3cc(C)on3)[C@H]2c2cccc([N+](=O)[O-])c2)cc1,zink
COc1ccccc1C(=O)NCCSCc1ccc(C)cc1,chembl
CCc1ccc(NC(=O)C2CC(=O)Nc3cc(F)ccc32)cc1,chembl
Cc1ccnc(NS(=O)(=O)c2ccc(NC(=O)C3CCCCC3C(=O)O)cc2)n1,chembl
O=C(NC1CCCCC1)c1n[nH]c2ccc(cc12)-c1cncnc1,crossdocked
COCCN(Cc1ccc(C#N)cc1)C(=O)[C@H]1CC(=O)N(C)[C@@H]1c1ccc(Cl)c(Cl)c1,zink
Cc1ccc(S(=O)(=O)OC[C@@]23[C@H]4[C@@H]5CCC[C@@H]5[C@H]5[C@H]4[C@H]4[C@H]6[C@@H]7[C@H](CC[C@@H]7[C@]2(O)[C@]65C)[C@H]43)cc1,zink
CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)CC(=O)N3)C[C@H]1C)c1ccc(Cl)cc1,chembl
O=S1(=O)CCC(n2nccc2-c2ccccc2)C1,chembl
CC(C)[C@H](CC(N)=O)NC(=O)c1cnc(N2CC(F)(F)C2)c(OCC2CC2)n1,crossdocked
C[C@H]1CCc2c(sc(NC(=O)c3cccc(S(=O)(=O)Nc4cccc(C(=O)O)c4)c3)c2C#N)C1,zink
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=C/C(=N/OCC(=O)N[C@H](C(=O)O)[C@H](C)CC)CC[C@]4(C)[C@H]3CC[C@@]21C,zink
COc1cc(cn2ncnc12)-c1[nH]c2ccc(CCC3CNC3)nc2c1C(C)C,crossdocked
OC(=O)CC[C@H]1CCc2cc(ccc2O1)-c1nc(OC2CCC2)ccc1F,crossdocked
CO[C@H](c1ccccc1)[C@H](O)[C@H]1CC=CC(=O)O1,chembl
CC1CCN(CCCOc2ccc(=O)n(n2)-c2ccc(Cl)cc2Cl)CC1,crossdocked
CCCn1c(=O)c2[nH]c(Cc3ccccc3)nc2n(CC[S+]([O-])CC)c1=O,chembl
OC1CCN(CC1)[C@H]1CC[C@@H](CC1)c1ccc(OCCCN2CCCCC2)cc1,crossdocked
NC(=O)c1c2NCC3CN(CCC3n2nc1-c1ccc(Oc2ccccc2)cc1)C(=O)C=C,crossdocked
C#Cc1ccc(C[C@@H]2NC(=O)N(c3ccc(OC)c(OCc4ccc5ccccc5n4)c3)C2=O)cc1,zink
Nc1ncc(cn1)-c1ccc(cc1)C1(CCC1)c1noc(n1)-c1ccccc1,crossdocked
O=c1c2ccsc2n(Cc2ccccc2)c(=O)n1O,chembl
C[C@H]1COc2cc(cnc2N1)C(=O)N1CCC(C1)c1ccncc1,crossdocked
COc1cc(OC)cc([C@@H]2c3cc4c(cc3N[C@@H]3COC(=O)N23)OCO4)c1,chembl
C(NCc1cccnc1)c1ccc(cc1)C1COc2ccccc2O1,crossdocked
CC1=CC=CN2N=C(CCc3nc(cn3C)-c3cccs3)NC12,crossdocked
COC(=O)[C@@H]1C(=O)C2=C(C[C@H]1C)NC(C)=C(C(=O)OC1CCCCC1)[C@H]2c1ccc(C)cc1,zink
C[C@]12CC[C@@H]3[C@H](CCC4=CC(=NOCC(=O)NCc5ccccn5)CC[C@@]43C)[C@H]1CC[C@H]2O,zink
C=CCn1c(SCC(=O)NCCc2ccccc2)nc2sc3c(c2c1=O)CC[C@H](C)C3,zink
CC(C)(C)COc1ccc2Oc3ccc(cc3[C@@]3(COC(N)=N3)c2c1)-c1cncc(c1)C#N,crossdocked
CC1(C)CCCC(=O)N1c1ccc(Nc2cc(nc3CNC(=O)c23)-c2c(F)cccc2F)nc1,crossdocked
O=C1[C@H]2[C@H]3C=C[C@@H](C3)[C@H]2C(=O)N1/N=C/c1ccc(OCc2ccc(Br)cc2)cc1,zink
CC[C@H](C)OC(=O)C1=C(C)NC2=C(C(=O)[C@H](C(=O)OC)[C@@H](C)C2)[C@H]1c1ccc(Cl)c([N+](=O)[O-])c1,zink
C=C(Cl)COc1nc2cc(F)ccc2cc1CNC[C@H](c1cccnc1)N1CCOCC1,zink
Cc1cc(C(=O)C2=C(O)C(=O)N(CCN(C)C)[C@@H]2c2ccc(F)cc2)ccc1OCC(C)C,zink
Cc1ccc(Nc2nc(C(=O)N3CCC(C(=O)NCc4ccccc4)CC3)cs2)cc1,chembl
CCCc1ccccc1OCCNC(C)=O,chembl
CC[C@@H]1[C@H](C)C[C@H]2[C@@H]3C[C@@H]4C=CC(=O)C5=C(O)[C@@H](CCCNC(=O)C=CC[C@H]4[C@H]3C=C[C@@H]21)NC5=O,zink
CCn1nc2c(cc1=O)CN(CCOc1ccccc1C#N)CC2,chembl
CCOC(=O)[C@H]1C(=O)C=C(c2ccccc2NS(C)(=O)=O)C[C@H]1c1ccc(Cl)c(F)c1,zink
COCc1cc(=O)n(CC(=O)Nc2cc(C)ccc2OC)c(N2CCCC2)n1,chembl
CN1CCC[C@@H](CNc2nc(Nc3cccc(c3)-n3cc(C)cn3)ncc2F)C1,crossdocked
C=CCn1c(SCC(=O)NCc2ccccc2)nnc1[C@H](NC(=O)c1cccc(C)c1)C(C)C,zink
COc1ccccc1CCNC(=O)c1nc(-c2cccs2)no1,chembl
COc1ncc(Cl)cc1N1CCOc2cc(ccc12)S(=O)(=O)Nc1nccs1,crossdocked
CCOc1ccc(C(=O)C2=C(O)C(=O)N(CCN(CC)CC)[C@@H]2c2ccc(N(C)C)cc2)cc1C,zink
COc1ccc(nc1)[C@H]1C[C@@H]1COc1cc(NCc2cnccc2C)c(=O)n(C)n1,crossdocked
CCCN1CCN(CC1=O)c1cc(ncn1)-c1n[nH]c2cc(F)c(OC(C)C)cc12,crossdocked
COC(=O)C1=C(C)NC2=C(C(=O)C[C@H](c3cccs3)C2)[C@@H]1c1cc(OC)c(OC)c(OC)c1,zink
OC(=O)C1(CC1)NC(=O)Nc1cc(Cl)cc(Cl)c1-c1ccccc1,crossdocked
O=C(Nc1ccc(F)cc1)c1cccc2c1C(=O)N(CC1CCCO1)C2,chembl
Cc1cccc(OCc2cccc(c2)N2C(N)=NC(N)=NC2(C)C)c1,crossdocked
COc1ccc(C(=O)C2=C(O)C(=O)N(CCN(C)C)[C@H]2c2ccc(Cl)c(Cl)c2)cc1C,zink
